Rank,Team,Points
1,Spain,1877.18
2,Argentina,1873.33
3,France,1870.00
4,England,1834.12
5,Brazil,1760.46
6,Portugal,1760.38
7,Netherlands,1756.27
8,Belgium,1730.71
9,Germany,1724.15
10,Croatia,1716.88
11,Morocco,1713.12
12,Italy,1702.06
13,Colombia,1701.30
14,USA,1681.88
15,Mexico,1675.75
16,Uruguay,1672.62
17,Switzerland,1654.69
18,Japan,1650.12
19,Senegal,1648.07
20,Iran,1617.02
21,Denmark,1616.75
22,South Korea,1599.45
23,Ecuador,1591.73
24,Austria,1585.51
25,Türkiye,1582.69
26,Australia,1574.01
27,Canada,1559.15
28,Ukraine,1557.47
29,Norway,1553.14
30,Panama,1540.43
31,Poland,1532.04
32,Wales,1529.71
33,Russia,1524.52
34,Egypt,1520.68
35,Algeria,1516.37
36,Scotland,1506.77
37,Serbia,1506.34
38,Nigeria,1502.46
39,Paraguay,1501.50
40,Tunisia,1497.13
41,Hungary,1496.29
42,Ivory Coast,1489.59
43,Sweden,1487.13
44,Czechia,1487.00
45,Slovakia,1485.65
46,Greece,1480.38
47,Romania,1465.78
48,Venezuela,1465.22
49,Costa Rica,1464.24
50,Uzbekistan,1462.03
51,Qatar,1461.60
52,Peru,1459.57
53,Chile,1457.84
54,Mali,1455.03
55,Slovenia,1447.31
56,DR Congo,1442.50
57,Cameroon,1440.43
58,Iraq,1438.92
59,Ireland,1436.04
60,Saudi Arabia,1428.74
61,South Africa,1426.73
62,Burkina Faso,1404.81
63,Albania,1401.07
64,Jordan,1377.66
65,Honduras,1379.54
66,North Macedonia,1378.57
67,United Arab Emirates,1369.71
68,Cabo Verde,1367.95
69,Northern Ireland,1366.02
70,Jamaica,1362.46
71,Bosnia & Herzegovina,1362.37
72,Ghana,1351.09
73,Georgia,1347.88
74,Iceland,1344.72
75,Finland,1341.81
76,Israel,1328.14
77,Bolivia,1329.56
78,Oman,1312.45
79,Gabon,1321.25
80,Kosovo,1308.84
81,Guinea,1307.05
82,Curaçao,1302.70
83,Montenegro,1297.09
84,Haiti,1294.49
85,Syria,1282.59
86,Uganda,1280.58
87,New Zealand,1279.25
88,Bulgaria,1272.19
89,Angola,1262.71
90,Bahrain,1258.53
91,Zambia,1257.55
92,Benin,1250.36
93,El Salvador,1248.12
94,Equatorial Guinea,1245.88
95,Luxembourg,1234.56
96,Guatemala,1228.45
97,Palestine,1224.32
98,Belarus,1218.15
99,Armenia,1210.67
100,Kazakhstan,1205.44
101,Kyrgyz Republic,1202.32
102,Thailand,1198.54
103,Madagascar,1194.33
104,Trinidad and Tobago,1191.22
105,Tajikistan,1189.11
106,Kenya,1186.00
107,Mozambique,1182.89
108,Namibia,1179.78
109,Georgia,1176.67
110,Mauritania,1173.56
111,Vietnam,1170.45
112,Azerbaijan,1167.34
113,Congo,1164.23
114,Korea DPR,1161.12
115,Guine-Bissau,1158.01
116,Lebanon,1154.90
117,Togo,1151.79
118,Libya,1148.68
119,Comoros,1145.57
120,Tanzania,1142.46
121,Estonia,1139.35
122,Cyprus,1136.24
123,Malawi,1133.13
124,Zimbabwe,1130.02
125,Sierra Leone,1126.91
126,Central African Republic,1123.80
127,Sudan,1120.69
128,Niger,1117.58
129,Rwanda,1114.47
130,The Gambia,1111.36
131,Kuwait,1108.25
132,Latvia,1105.14
133,Faroe Islands,1102.03
134,Solomon Islands,1098.92
135,Nicaragua,1095.81
136,Moldova,1092.70
137,Suriname,1089.59
138,Lithuania,1086.48
139,Burundi,1083.37
140,Ethiopia,1080.26
141,Antigua and Barbuda,1077.15
142,India,1079.52
143,Turkmenistan,1070.93
144,Botswana,1067.82
145,St Kitts and Nevis,1064.71
146,Dominican Republic,1061.60
147,Malaysia,1058.49
148,Indonesia,1055.38
149,Lesotho,1052.27
150,Eswatini,1049.16
151,Liberia,1046.05
152,Philippines,1042.94
153,Puerto Rico,1039.83
154,Guyana,1036.72
155,St Lucia,1033.61
156,Afghanistan,1030.50
157,New Caledonia,1027.39
158,Yemen,1024.28
159,Hong Kong,1021.17
160,Papua New Guinea,1018.06
161,Singapore,1014.95
162,Maldives,1011.84
163,Chinese Taipei,1008.73
164,Myanmar,1005.62
165,Tahiti,1002.51
166,Andorra,999.40
167,South Sudan,996.29
168,Malta,993.18
169,Bermuda,990.07
170,Fiji,986.96
171,Cuba,983.85
172,Vanuatu,980.74
173,Grenada,977.63
174,Chad,974.52
175,Montserrat,971.41
176,St Vincent and the Grenadines,968.30
177,Mauritius,965.19
178,Barbados,962.08
179,Cambodia,958.97
180,Bangladesh,911.19
181,Belize,910.74
182,Nepal,902.44
183,Dominica,901.37
184,American Samoa,883.17
185,Mongolia,879.75
186,Cook Islands,877.53
187,Samoa,876.41
188,Brunei,875.78
189,São Tomé and Príncipe,871.63
190,Laos,871.16
191,Aruba,867.94
192,Bhutan,867.86
193,Macao,865.29
194,Sri Lanka,857.40
195,Eritrea,855.56
196,Cayman Islands,851.74
197,Djibouti,847.03
198,Tonga,835.64
199,Timor Leste,835.55
200,Pakistan,833.16
201,Somalia,828.90
202,Guam,823.08
203,Gibraltar,818.03
204,Seychelles,805.33
205,Turks and Caicos Islands,803.98
206,Liechtenstein,799.80
207,Bahamas,796.60
208,US Virgin Islands,776.60
209,British Virgin Islands,776.54
210,Anguilla,759.78
211,San Marino,726.03
